Binary,Real
2565.71,2543.67
2275.3,2341.21
2085.53,2145.18
1949.42,1901.21
1754.36,1726.99
1607.91,1495.75
1508.44,1305.48
1397.91,1183.81
1236.18,1021.62
1163.77,896.647
1031.36,761.293
924.41,661.416
881.688,565.629
800.114,464.816
741.206,422.577
720.823,366.451
649.355,331.111
621.627,283.326
563.338,234.715
526.632,196.675
510.166,187.046
466.117,158.751
433.126,142.547
419.005,121.485
377.272,110.718
341.466,102.618
339.407,94.6073
300.932,79.9998
277.558,75.4877
279.227,70.7596
267.747,66.3896
253.907,57.8646
262.261,53.7036
213.874,53.0229
199.026,48.9018
211.715,44.6884
204.52,42.3259
183.195,40.1526
181.783,38.0457
171.504,33.868
173.248,31.4631
170.204,29.1444
148.434,28.3264
151.97,26.3331
141.99,24.8629
147.241,23.4184
148.657,21.64
135.153,21.2345
123.608,20.587
106.024,19.2882
117.818,18.2832
118.047,17.2405
121.355,16.5706
111.235,15.5297
107.546,15.1497
107.727,14.9125
111.399,14.4348
97.8821,13.857
92.5215,13.4368
99.0994,12.9586
88.8863,12.395
82.2286,12.188
89.3231,11.9759
85.8554,11.7003
89.4242,11.2715
84.6747,10.9493
84.0278,10.4118
84.6979,10.4148
83.564,10.2744
79.2024,9.83858
77.3315,9.59289
78.7676,9.41673
74.8578,9.16767
73.5506,9.0833
74.0926,8.71736
70.1169,8.62959
71.9254,8.53931
70.4931,8.24257
74.2417,8.02141
75.9033,8.01302
60.1066,7.63761
63.4151,7.58778
64.2073,6.8622
63.521,6.78693
62.4909,6.74218
66.665,6.63842
62.486,6.56801
61.2043,6.39467
61.3894,6.31666
61.9831,6.21281
63.2904,5.92743
62.8585,5.76635
59.0258,5.73776
63.2365,5.73122
62.9976,5.48541
61.3494,5.4852
59.9148,5.41163
54.7367,5.22389
54.9475,5.17394
54.7853,4.9549
56.4996,4.98361
53.7704,4.90196
55.1288,4.90366
52.0017,4.85442
51.6894,4.76239
53.5023,4.62882
54.7888,4.37092
50.2693,4.33457
49.4614,4.29282
48.2825,4.27003
50.5513,4.2429
46.6819,4.14932
47.9972,4.07993
49.7359,3.98642
50.4709,3.94965
46.2712,3.91997
48.2016,3.86719
48.2997,3.83433
43.834,3.80499
45.308,3.79388
41.335,3.77229
43.0173,3.53008
44.7989,3.38973
45.8957,3.37246
45.4481,3.27647
44.8767,3.23685
44.35,3.22169
43.3983,3.14239
41.8251,3.12006
40.2609,3.10358
40.6784,3.02975
40.502,2.9595
38.453,2.95684
41.5453,2.89387
41.3193,2.86562
40.5125,2.81693
39.3182,2.76374
40.3476,2.70343
39.7393,2.68722
39.558,2.64374
39.8208,2.60274
38.3346,2.56314
36.0641,2.53475
37.2116,2.42592
39.6587,2.41261
36.6987,2.4073
32.9468,2.32738
33.8297,2.30797
34.2442,2.28766
35.2823,2.2856
35.1249,2.25164
34.5956,2.06504
33.8568,2.06504
34.6295,2.06496
32.6854,2.053
35.4815,1.961
33.2003,1.86578
34.064,1.85441
34.04,1.8477
32.3,1.83138
34.1181,1.83445
33.6078,1.81654
32.1762,1.80955
33.988,1.73624
34.8366,1.6539
30.7797,1.55443
32.0763,1.5481
29.7998,1.5481
30.1766,1.53889
31.6224,1.51278
29.8469,1.51278
29.6411,1.49559
30.4215,1.45525
30.3588,1.44209
29.5383,1.43205
28.7793,1.42609
28.3745,1.42609
31.5926,1.42312
29.0302,1.37094
29.1014,1.3679
26.8431,1.35342
27.4228,1.3534
30.1707,1.34729
29.2686,1.34702
28.26,1.34077
27.2633,1.33467
25.6919,1.3301
26.8283,1.31341
25.6165,1.31298
28.3614,1.30941
28.8079,1.3061
31.694,1.27193
26.2046,1.26939
25.9701,1.25818
27.9593,1.25818
26.3778,1.25059
26.3551,1.24778
28.1319,1.2109
25.0988,1.2095
27.2041,1.2095
28.2067,1.20647
26.7645,1.20594
27.3809,1.20113
26.8266,1.20167
26.0947,1.20058
24.1978,1.19368
24.7316,1.09442
23.2371,1.09442
23.3746,1.09367
24.0454,1.09269
24.6362,1.0888
24.5906,1.08731
25.5924,1.0841
23.4739,1.08459
22.0645,1.07009
23.5971,1.06904
23.5836,1.05615
24.6437,1.03771
23.3928,1.03717
24.3207,1.03013
23.6079,1.03659
22.2787,1.02832
22.4767,1.02232
22.4758,1.02232
23.0464,1.01408
20.8427,1.01031
21.173,1.00724
22.7219,0.99944
24.3073,0.998457
20.5024,0.998457
21.2589,0.974016
23.5562,0.973757
22.8237,0.949602
21.8639,0.949602
23.2802,0.948122
23.3014,0.938159
21.526,0.934822
20.8237,0.934061
21.0522,0.926257
20.1346,0.926257
20.008,0.926257
21.4512,0.913649
20.419,0.910437
20.6105,0.893179
19.2178,0.892479
19.5229,0.883001
20.1723,0.883246
21.1269,0.859725
19.7602,0.859725
20.9467,0.856471
19.4153,0.85686
20.9669,0.847104
19.1978,0.824118
19.7505,0.830173
20.2474,0.82617
19.1018,0.820448
19.3972,0.820448
18.6839,0.814685
20.1336,0.812806
19.2247,0.812806
19.2297,0.800465
18.5915,0.800465
19.4541,0.797984
19.3749,0.79398
18.0626,0.778854
18.441,0.778925
18.7049,0.778168
18.7226,0.77179
18.3255,0.771717
17.8068,0.767171
18.1224,0.765167
18.4887,0.765167
18.6144,0.765152
17.5812,0.746946
18.548,0.744364
18.427,0.733711
18.553,0.733711
16.5232,0.733711
18.2599,0.732775
17.4227,0.731771
17.0974,0.731771
16.3572,0.729939
17.7748,0.729939
16.8301,0.727356
17.8872,0.72682
15.8863,0.72682
16.9494,0.712197
16.9258,0.686649
16.2466,0.68585
16.6122,0.683512
17.441,0.682514
16.2625,0.682514
16.7545,0.681539
15.7153,0.681062
16.891,0.656231
16.3723,0.641981
16.5179,0.637679
16.9411,0.631894
17.8842,0.631894
16.346,0.618853
16.7844,0.618853
17.5841,0.597228
17.2691,0.597045
16.8864,0.597045
16.0892,0.597045
16.3934,0.595966
15.8763,0.586583
14.5504,0.576034
15.5259,0.574266
15.9939,0.574634
14.679,0.574055
14.6817,0.573981
14.9372,0.571882
16.1961,0.531255
15.5172,0.53034
16.077,0.530129
15.0602,0.530129
14.7779,0.527396
13.7015,0.527396
12.8913,0.527396
13.3711,0.526203
14.3738,0.526203
14.8796,0.526203
15.3393,0.519648
14.3896,0.518859
13.9713,0.474363
14.3481,0.474363
13.8742,0.473326
15.4684,0.472205
14.7394,0.469691
14.5512,0.469933
14.7534,0.462459
13.8235,0.45848
14.4737,0.458238
14.4954,0.458138
14.7888,0.457684
13.8817,0.457684
13.682,0.452757
14.0534,0.450161
14.0225,0.444075
14.3334,0.443816
13.6629,0.443816
13.5872,0.443816
14.893,0.440395
13.6057,0.440345
14.6258,0.440345
13.4869,0.440345
14.4355,0.433331
13.9954,0.433331
15.1839,0.424663
14.4104,0.423008
13.5951,0.423008
13.0567,0.423008
13.5458,0.420833
15.4505,0.420833
13.5767,0.410804
13.1178,0.410804
13.5738,0.410688
12.4734,0.395235
11.9325,0.395235
12.9829,0.39453
12.9,0.39133
12.0387,0.39133
13.2884,0.39133
13.1905,0.388782
12.6485,0.388023
11.9668,0.388023
13.3071,0.383242
13.5829,0.381684
13.4391,0.380659
12.8597,0.380659
12.73,0.380659
13.057,0.379498
12.0292,0.373155
12.159,0.373155
12.2432,0.37261
11.5933,0.364178
12.175,0.364178
13.1305,0.364178
12.1125,0.363153
11.8868,0.361904
12.2213,0.361904
12.2877,0.361879
13.931,0.360454
12.2857,0.360417
11.6422,0.356866
12.0441,0.355895
11.6886,0.346656
11.5784,0.346103
11.1382,0.346103
10.8962,0.3342
11.7818,0.3342
11.8322,0.331309
12.0445,0.331309
12.1131,0.331309
12.4693,0.331309
12.0431,0.331309
11.953,0.331309
11.5554,0.32213
11.7167,0.32213
12.2362,0.320109
11.5386,0.31997
11.4884,0.31997
11.3915,0.318404
11.9108,0.317511
11.5752,0.317511
11.3869,0.317511
11.4565,0.317511
10.9446,0.317511
10.8026,0.317511
11.2003,0.317511
10.1941,0.316317
10.6453,0.316317
11.942,0.316317
10.9231,0.315795
11.1717,0.315795
10.9461,0.30913
10.8498,0.30817
10.9632,0.302709
11.0925,0.301816
10.443,0.301816
