Binary,Real
2586.13,2442.86
2411.37,2354.33
2239.82,2279.67
1820.21,1724.45
1757.71,1578.56
1740.86,1388.81
1562.76,1223.83
1354.03,1106.94
1296.63,911.576
1018.29,858.766
1186.42,528.506
972.328,518.84
1043.09,518.84
874.745,432.661
840.689,377.992
730.081,364.839
615.809,321.68
622.58,246.828
532.944,189.882
427.735,176.186
485.162,160.866
425.532,124.208
464.352,115.083
434.693,102.453
410.685,99.6338
345.037,96.3976
345.535,72.5718
328.445,69.0155
315.107,61.8626
284.695,56.8855
336.188,58.7858
318.728,58.6108
332.693,53.6426
305.833,43.0752
241.682,40.0091
266.803,40.0983
214.256,42.0962
244.02,39.3597
164.921,36.206
209.122,33.2318
198.501,32.7272
189.2,29.8689
154.627,28.9625
144.444,29.0212
117.841,26.7048
151.562,23.7825
150.316,23.6649
181.677,23.3797
141.967,23.3797
113.417,22.3372
113.471,21.8799
128.516,21.8212
109.509,18.6391
133.468,18.3616
140.99,18.2033
148.609,18.3616
142.834,18.3616
139.691,17.2746
120.833,17.1614
109.495,17.2791
86.4431,14.6352
104.09,14.6352
106.047,14.4769
83.0407,14.6352
78.4091,14.6141
87.5523,14.6141
106.016,13.2905
110.754,13.2905
72.575,13.2618
84.9477,12.5854
77.6804,11.2064
54.0132,10.8957
86.5737,10.611
84.2019,11.4656
72.0104,11.4656
84.8798,10.611
83.0416,10.0655
57.4477,9.90539
79.2993,9.97067
63.2574,9.18684
73.8614,9.91407
72.5087,9.18684
68.3817,9.18684
73.3369,9.13148
80.3126,9.13148
67.116,9.13148
51.626,9.0183
74.3691,9.0183
73.6611,9.0183
63.2934,9.0183
60.1994,6.4818
72.9706,6.4818
61.8984,6.4818
62.9685,5.64261
62.2361,6.38247
61.7721,5.31917
82.2798,5.31917
67.9409,5.31917
57.0459,5.17732
41.9375,5.078
64.038,5.31917
72.9964,5.17732
60.3912,5.17732
71.2039,5.17732
66.5898,5.078
66.5898,5.078
58.7993,4.90437
56.2426,4.90437
55.7079,4.90437
47.0955,4.90437
43.8651,4.90437
66.002,4.90437
60.3396,4.81739
61.345,4.81739
63.2365,4.81739
71.6347,4.81739
57.7275,4.81739
56.471,3.6808
48.7434,3.53957
50.6841,3.53957
48.3146,3.53957
59.1424,3.53957
47.8202,3.53957
48.5705,3.53957
47.8848,2.91073
41.2972,2.91073
51.0096,2.82374
42.7929,2.79349
37.8,2.79349
34.9438,2.79349
48.1445,2.79349
50.2706,2.79349
39.1763,2.79349
37.6308,2.75986
51.7454,2.75986
42.2852,2.75986
47.3053,2.75986
51.232,2.75986
40.4414,2.75708
50.1963,2.71883
54.4291,2.71883
45.5289,2.71883
37.686,2.71883
34.1793,2.46772
40.4937,2.46772
52.6236,2.46772
44.9817,2.46772
40.3744,2.46772
52.8447,2.46772
44.1675,2.32349
45.8369,1.81837
38.4882,1.8156
36.338,1.8156
37.4049,1.77735
40.462,1.77735
31.3858,1.77735
38.3601,1.77735
45.1928,1.75828
45.6901,1.70494
42.553,1.70494
41.9578,1.66669
44.679,1.66669
33.5635,1.63858
44.9908,1.63858
40.3479,1.63858
39.8084,1.63858
41.5165,1.63858
39.396,1.63858
40.5932,1.63858
30.2298,1.63858
31.0288,1.63858
23.2347,1.63858
23.6362,1.63858
33.3051,1.63858
31.5206,1.63858
31.3536,1.57274
30.9725,1.57274
29.947,1.4817
37.5292,1.4817
37.3318,1.46745
31.3439,1.46745
33.0974,1.46745
29.7817,1.46745
28.8792,1.46745
24.999,1.42053
33.6553,1.42053
39.202,1.42053
33.6528,1.40161
29.3562,1.40161
31.8707,1.40161
35.3034,1.40161
32.1407,1.40161
29.3098,1.24289
35.2513,1.24289
34.9128,1.24289
28.2238,1.24289
27.3003,1.24289
35.6081,1.24289
35.0846,1.24289
35.7354,1.24289
33.2329,1.24289
23.4079,1.24289
29.7488,1.22291
37.7267,1.22291
39.4259,1.22291
34.2108,1.22291
29.5461,1.22291
31.9549,1.22291
27.1029,1.22291
27.6604,1.08865
26.4586,1.08865
25.7505,1.08865
28.0182,1.05426
17.094,1.05426
24.0163,1.05426
32.8856,1.03428
24.9689,1.03428
26.8048,1.03428
25.0638,1.03428
38.9476,1.03428
33.7773,1.03428
26.9076,1.03428
26.5923,1.03428
29.5265,1.03428
31.5021,1.03428
29.8436,1.03428
30.5787,1.03428
26.1334,1.03428
21.7579,0.977683
21.4683,0.977683
28.4891,0.977683
26.3722,0.977683
26.0695,0.977683
30.6892,0.977683
26.2551,0.977683
25.26,0.977683
21.8651,0.977683
23.8095,0.977683
25.1308,0.977683
22.42,0.977683
25.8896,0.977683
25.0789,0.977683
