Binary,Real
2456.62,2455.8
2183.39,2377.84
2196.53,2422.16
1963.49,1755.62
1687.24,1480.09
1823.2,1548.8
1462.31,1495.13
1233.45,1130.53
1297.29,1021.15
1292.88,1021.15
1292.88,786.549
1297.87,767.301
746.663,767.301
759.278,655.406
893.881,562.201
634.41,562.201
657.509,436.333
707.196,319.684
510.067,319.684
489.367,209.012
483.867,209.012
541.919,180.653
224.535,180.653
330.856,180.653
367.396,103.795
291.934,103.795
289.153,87.2602
265.69,78.202
293.967,78.202
179.751,70.5092
212.392,64.9382
168.614,64.9382
235.181,50.7027
204.793,64.9382
147.728,62.7742
226.957,55.4487
262.911,60.7964
262.911,50.1411
347.892,50.1411
194.383,50.3463
110.491,47.6856
155.153,39.0429
191.722,47.0082
154.692,44.7975
174.347,40.1795
122.029,40.1795
122.029,36.9543
193.845,36.9543
208.566,35.91
79.7069,19.7017
129.868,19.7017
159.905,19.7017
137.751,19.7017
124.284,19.2296
112.126,19.2296
165.971,19.2296
125.526,16.8836
72.9107,13.5204
102.663,10.2654
109.783,11.9111
68.1253,5.46258
91.9788,5.46258
126.385,5.42558
112.228,11.439
92.8851,11.439
76.9168,11.439
100.877,5.46258
91.7742,3.81684
100.142,3.81684
86.9579,3.81684
81.3181,3.81684
87.7962,3.81684
90.6842,3.81684
60.2344,3.81684
62.9155,2.55543
43.1745,2.55543
52.5079,2.55543
52.5079,2.55543
90.7898,2.55543
83.186,2.55543
88.9764,2.55543
95.6837,2.55543
95.6837,2.55543
90.0361,2.55543
69.328,2.55543
109.664,1.49077
109.664,1.49077
80.4799,1.49077
65.0964,0.675777
89.3977,0.675777
68.043,0.675777
68.043,0.675777
71.7349,0.675777
68.7803,1.49077
68.7803,1.49077
67.2831,1.49077
67.2831,1.49077
78.0984,1.49077
97.0863,1.49077
67.1942,1.49077
67.1942,1.49077
90.4795,1.49077
79.4789,1.49077
62.9165,1.49077
62.9165,1.49077
75.1963,1.49077
79.1447,1.49077
76.5279,1.49077
87.6034,1.49077
87.6034,1.49077
41.5378,1.49077
41.5378,1.49077
56.0022,1.49077
53.3808,1.49077
54.1273,1.49077
36.2405,1.49077
59.6589,1.49077
68.147,1.49077
65.0263,1.39878
60.7937,1.39878
60.7937,1.39878
42.9183,1.39878
42.9183,1.39878
35.95,-0.643919
45.5529,-0.643919
67.4905,-0.643919
43.5606,-0.643919
42.1966,-0.643919
53.1422,-0.643919
53.7569,-1.03228
44.2814,-1.03228
44.8902,-1.03228
53.6372,-1.12427
49.2748,-1.12427
48.9595,-1.84322
34.1101,-1.84322
26.022,-2.13959
46.0318,-2.23158
46.0318,-2.23158
58.625,-2.23158
45.1451,-2.23158
36.5969,-2.23158
43.1142,-2.23158
31.136,-2.23158
26.5879,-2.23158
48.6491,-2.23158
37.8746,-2.23158
37.1024,-2.23158
16.4823,-2.23158
16.4823,-3.50837
41.4551,-3.50837
20.5309,-3.50837
53.4318,-3.50837
50.3521,-3.50837
52.0703,-3.50837
58.395,-3.50837
24.2719,-3.50837
39.0482,-3.50837
39.0482,-3.50837
39.0482,-3.50837
47.3338,-3.8472
51.0738,-3.8472
45.679,-3.8472
35.2639,-3.8472
35.2639,-3.8472
34.4276,-3.8472
34.4276,-3.8472
45.5381,-3.8472
42.6348,-3.8472
42.6348,-3.8472
21.7659,-3.8472
21.7659,-3.8472
54.3612,-3.8472
22.4189,-3.8472
34.7213,-3.8472
38.1196,-3.8472
26.9488,-3.8472
26.5439,-3.8472
16.7227,-3.8472
22.6997,-3.95397
43.4815,-3.95397
40.2717,-3.95397
34.2529,-3.95397
41.7203,-3.95397
22.4766,-3.95397
33.1541,-3.95397
18.1953,-3.95397
42.3105,-3.95397
30.0526,-3.95397
32.5263,-3.95397
24.3301,-3.95397
39.7713,-3.95397
44.6449,-3.95397
42.8519,-3.95397
39.5039,-3.95397
39.5039,-3.95397
24.229,-3.95397
24.229,-3.95397
31.5888,-3.95397
31.5888,-3.95397
41.6179,-3.95397
35.5156,-3.95397
40.4893,-3.95397
38.5201,-4.38239
29.3012,-4.38239
31.6342,-4.38239
14.2567,-4.38239
17.5156,-4.38239
19.4216,-4.38239
35.6145,-4.38239
32.0226,-4.38239
36.6535,-4.38239
23.3324,-4.38239
30.7513,-4.38239
34.2754,-4.38239
34.2754,-4.38239
26.2054,-4.38239
14.5468,-4.38239
13.5564,-4.38239
25.7257,-4.38239
24.177,-4.38239
36.3841,-4.38239
27.3576,-4.38239
21.5129,-4.38239
21.5129,-4.38239
19.0062,-4.38239
17.1417,-4.38239
12.8371,-4.38239
30.0114,-4.38239
19.4876,-4.38239
15.9714,-4.38239
21.9217,-4.38239
21.633,-4.38239
27.6503,-4.38239
31.4339,-4.38239
30.3237,-4.38239
32.9589,-5.12943
23.8099,-5.12943
20.9011,-5.12943
28.9584,-5.12943
27.4273,-5.12943
29.4639,-5.12943
16.3489,-5.12943
24.6925,-5.12943
24.8499,-5.12943
27.1964,-5.40128
13.2032,-5.40128
14.9633,-5.40128
14.9633,-5.40128
14.9633,-5.40128
27.459,-5.40128
26.7572,-5.40128
30.6123,-5.40128
25.8905,-5.40128
13.6872,-5.40128
20.8965,-5.40128
23.3606,-5.40128
27.9356,-5.40128
26.4025,-5.40128
23.8914,-5.40128
28.1198,-5.40128
22.7568,-5.40128
15.5864,-5.40128
17.734,-5.40128
25.7872,-5.40128
25.7872,-5.40128
22.1686,-5.40128
17.4589,-5.40128
19.2335,-5.5808
19.7187,-5.5808
18.4819,-5.5808
18.4819,-5.5808
21.7802,-5.5808
20.3992,-5.5808
23.8199,-5.5808
23.1938,-5.5808
16.4361,-5.5808
15.6204,-5.5808
22.0039,-5.5808
20.2987,-5.5808
24.3933,-5.5808
19.2895,-5.5808
19.2895,-5.5808
9.59118,-5.5808
26.3058,-5.5808
13.7513,-5.5808
23.7131,-5.5808
16.5881,-5.5808
18.8074,-5.5808
17.5741,-5.63705
22.9045,-5.63705
22.9045,-5.63705
21.815,-5.63705
19.9195,-5.63705
19.9195,-5.63705
15.4855,-5.63705
15.2822,-5.63705
20.8021,-5.63705
10.2067,-5.63705
18.1464,-5.63705
16.0767,-5.63705
21.1501,-5.63705
19.643,-5.63705
15.8946,-5.63705
11.5821,-5.63705
11.0808,-5.63705
14.4428,-5.63705
16.6225,-5.63705
14.5211,-5.63705
16.8192,-5.63705
19.5393,-5.63705
24.2191,-5.63705
15.9318,-5.63705
16.781,-5.63705
11.9158,-5.63705
18.0016,-5.63705
23.1748,-5.63705
16.3489,-5.63705
16.6253,-5.63705
23.3384,-5.63705
11.395,-5.63705
13.2647,-5.63705
14.3066,-5.63705
16.6318,-5.63705
16.6318,-5.63705
13.4064,-5.63705
15.6674,-5.63705
15.6674,-5.63705
21.3367,-5.63705
21.074,-5.63705
13.711,-5.63705
14.1808,-5.63705
20.2138,-5.63705
13.5684,-5.63705
17.1892,-5.63705
13.2113,-5.63705
13.2113,-5.63705
13.2113,-5.63705
14.5769,-5.80214
14.5769,-5.80214
17.2137,-5.80214
9.95675,-5.80214
10.2296,-5.80214
13.9929,-5.80214
9.2694,-5.80214
9.2694,-5.80214
14.8787,-5.80214
13.5756,-5.80214
20.2935,-5.80214
20.2935,-5.80214
20.2935,-5.80214
11.7693,-5.80214
12.6833,-5.80214
19.6945,-5.80214
16.9629,-6.10896
16.5812,-6.15196
16.291,-6.15196
18.5438,-6.15196
15.7947,-6.15196
10.9385,-6.15196
10.9385,-6.15196
10.9385,-6.15196
10.9868,-6.15196
9.58682,-6.15196
14.6303,-6.15196
13.78,-6.15196
15.3837,-6.15196
8.3289,-6.15196
14.8892,-6.15196
12.7051,-6.15196
10.7688,-6.15196
14.8494,-6.15196
7.29728,-6.15196
8.18559,-6.47533
5.56876,-6.47533
9.3313,-6.47533
14.2429,-6.47533
6.6282,-6.47533
11.2299,-6.47533
11.2299,-6.47533
15.4153,-6.47533
11.8298,-6.47533
11.5417,-6.47533
11.5417,-6.71169
5.73688,-6.71169
8.49621,-6.71169
9.50152,-6.71169
5.73573,-6.71169
4.72681,-6.71169
9.14846,-6.71169
10.6202,-6.71169
11.8023,-6.71169
11.4455,-6.71169
8.88981,-6.71169
11.8307,-6.71169
10.9717,-6.71169
10.9717,-6.71169
12.1617,-6.71169
17.1981,-6.71169
18.4117,-6.71169
11.3465,-6.71169
14.6174,-6.71169
14.6174,-6.71169
8.76475,-6.71169
20.9418,-6.71169
16.2862,-6.71169
15.2717,-6.71169
9.22832,-6.71169
7.08381,-6.71169
5.0644,-6.71169
7.09708,-6.71169
7.09708,-6.71169
14.7096,-6.71169
14.818,-6.71169
12.8554,-6.71169
7.26198,-6.71169
12.7551,-6.71169
13.4711,-6.71169
12.3937,-6.71169
11.3475,-6.71169
9.42932,-6.71169
7.48058,-6.71169
13.7833,-6.71169
14.4007,-6.71169
11.4561,-6.71169
9.60786,-6.71169
11.5257,-6.71169
11.904,-6.71169
10.1642,-6.71169
8.74831,-6.71169
9.92324,-6.71169
10.6163,-6.71169
10.9637,-6.71169
10.0097,-6.71169
9.28664,-6.71169
10.1965,-6.71169
10.1965,-6.71169
8.52963,-6.71169
11.4548,-6.71169
10.1757,-6.71169
9.47242,-6.71169
8.37445,-6.71169
6.1599,-6.71169
7.7234,-6.71169
9.11936,-6.71169
8.574,-6.71169
8.574,-6.71169
8.74854,-6.71169
8.37829,-6.71169
10.5177,-6.71169
9.85821,-6.71169
7.39553,-6.71169
8.4564,-6.71169
8.57404,-6.71169
8.42611,-6.71169
12.8395,-6.71169
6.34153,-6.71169
8.49771,-6.71169
6.0036,-6.71169
6.0036,-6.71169
12.2254,-6.71169
10.8622,-6.71169
10.8622,-6.71169
9.48322,-6.71169
9.61092,-6.71169
7.89119,-6.71169
8.8056,-6.71169
8.12245,-6.71169
6.49324,-6.71169
10.7234,-6.71169
10.0142,-6.71169
6.92986,-6.71169
8.97748,-6.71169
11.7626,-6.71169
10.4795,-6.71169
11.6785,-6.71169
10.6843,-6.71169
11.5919,-6.71169
11.6617,-6.71169
11.6617,-6.71169
7.39691,-6.71169
7.39691,-6.71169
12.8658,-6.71169
10.0309,-6.71169
12.1079,-6.71169
8.89502,-6.71169
8.99408,-6.71169
11.9195,-6.71169
12.3963,-6.71169
9.43866,-6.71169
9.43866,-6.71169
11.3154,-6.71169
7.19919,-6.71169
4.84616,-6.71169
6.12587,-6.71169
8.95897,-6.71169
10.7419,-6.71169
10.7419,-6.71169
12.7103,-6.71169
13.0809,-6.71169
