Binary,Real
2220.46,2405.88
2220.46,2405.88
2337.47,2388.3
1889.67,2037.32
1758.76,1664.47
1526.16,1606.81
857.15,1325.58
1014.33,1325.58
1050.72,1325.58
952.971,1083.84
1089.15,806.319
853.419,547.582
975.305,751.079
885.456,565.021
717.201,664.273
642.187,471.557
739.12,377.752
524.769,347.348
436.112,217.864
584.402,115.393
624.536,115.393
293.999,105.328
345.731,105.328
281.428,81.141
298.302,81.141
344.269,75.7864
219.942,75.7864
340.237,55.4373
249.414,51.0475
92.8477,51.0475
214.59,53.0732
149.015,41.7289
161.379,38.8936
91.1763,43.4805
146.735,39.8792
147.687,36.6906
257.589,36.6906
253.181,26.0773
160.737,36.4255
167.288,36.4255
252.57,36.4255
62.2159,28.1132
120.091,28.1132
148.12,24.7733
161.334,23.8743
161.334,22.7375
185.067,22.7375
125.169,22.7375
104.091,22.7375
153.021,22.7375
128.513,22.7375
128.513,20.8371
128.513,19.4353
110.917,19.4353
196.557,17.6646
89.4464,17.6646
110.266,17.6646
110.266,17.6646
93.2875,17.6646
69.3863,17.6646
69.3863,17.6646
66.4051,17.6646
87.1053,17.6646
57.1734,17.6646
88.8455,17.6646
66.6461,17.6646
89.4024,17.6646
47.7011,17.6646
43.8181,17.6646
73.5307,17.6646
61.0709,17.6646
97.0925,17.3334
35.7117,17.3334
66.3305,17.3334
94.2512,17.3334
46.2772,17.3334
73.4958,17.3334
62.7497,17.3334
67.0487,17.3334
67.0487,17.3334
66.6011,17.3334
52.1481,17.3334
47.1088,17.3334
53.1877,17.3334
53.1877,15.394
76.9904,15.394
61.6994,15.394
42.4849,15.394
70.5274,15.394
44.6199,14.7468
44.6199,15.1797
60.9581,15.1797
43.3291,14.7468
37.1146,14.7468
54.2997,14.7468
65.6868,14.156
65.686,14.156
69.7787,14.156
56.6285,11.18
57.9381,11.18
44.4883,10.5891
35.2967,10.5891
35.2967,11.18
39.6395,11.18
39.01,10.5891
32.8311,10.5891
59.5666,10.5891
39.1065,7.62705
39.1065,7.03621
63.0139,7.03621
41.7017,7.03621
41.7017,6.82192
54.9387,6.4933
44.9992,6.4933
